record_id,tier,source,name,state,county,capacity_mw,opposed_flag,lifecycle_outcome,origin_date,origin_precision,end_date,end_kind,span_days,event_observed,source_url
ext_00079,external,loudoun_lola,"BELMONT INNOVATION CAMPUS BUILDINGS 1,2 & 5",VA,,,no,In Review,2025-11-05,day,2026-08-18,censored_asof,286,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00080,external,loudoun_lola,DULLES BERRY LC8 DATA CENTER,VA,,,no,In Review,2026-01-29,day,2026-08-18,censored_asof,201,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00081,external,loudoun_lola,LC9 & LC10 Data Center,VA,,,no,In Review,2026-03-31,day,2026-08-18,censored_asof,140,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00082,external,loudoun_lola,Site Plan Amendment for NTT Global Data Centers VA,VA,,,no,In Review,2026-05-28,day,2026-08-18,censored_asof,82,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00083,external,loudoun_lola,Twin Creeks Buildings 4 & 5,VA,,,no,In Review,2026-06-03,day,2026-08-18,censored_asof,76,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00084,external,loudoun_lola,Arcola Grove Data Centers Site Plan,VA,,,no,In Review,2026-06-17,day,2026-08-18,censored_asof,62,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00085,external,loudoun_lola,Thayer Road,VA,,,no,In Review,2026-06-25,day,2026-08-18,censored_asof,54,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00086,external,loudoun_lola,Bridgefield Tech Center,VA,,,no,Submitted - Online,2026-07-28,day,2026-08-18,censored_asof,21,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00087,external,loudoun_lola,Twin Creeks Buildings 1-3,VA,,,no,In Review,2026-07-29,day,2026-08-18,censored_asof,20,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00088,external,loudoun_lola,AWS 42949 Fadeley Lane,VA,,,no,Submitted - Online,2026-08-11,day,2026-08-18,censored_asof,7,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00089,external,loudoun_lola,INTERGATE ASHBURN DATA CENTER,VA,,,no,Approved,2012-05-31,day,2026-08-18,censored_asof,5192,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00090,external,loudoun_lola,TRUE NORTH DATA,VA,,,no,Approved,2018-01-05,day,2026-08-18,censored_asof,3147,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00091,external,loudoun_lola,TRUE NORTH DATA SWM,VA,,,no,Approved,2018-05-10,day,2026-08-18,censored_asof,3022,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00092,external,loudoun_lola,AMAZON DATA SERVICES,VA,,,no,Approved,2020-10-08,day,2026-08-18,censored_asof,2140,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00093,external,loudoun_lola,AREP BEAUMEADE DATA CENTER,VA,,,no,Approved,2021-02-26,day,2026-08-18,censored_asof,1999,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00094,external,loudoun_lola,Floodplain Study for LC11 & LC12 Data Center,VA,,,no,Approved,2023-09-07,day,2026-08-18,censored_asof,1076,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00095,external,loudoun_lola,Floodplain Alteration for LC11 & LC12 Data Center,VA,,,no,Approved,2023-09-20,day,2026-08-18,censored_asof,1063,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00096,external,loudoun_lola,Silverbrook Center Floodplain Study,VA,,,no,Approved,2023-12-14,day,2026-08-18,censored_asof,978,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00097,external,loudoun_lola,Silverbrook Center Floodplain Alteration,VA,,,no,Approved,2023-12-14,day,2026-08-18,censored_asof,978,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00098,external,loudoun_lola,Ashbrook Tech Center Floodplain Study,VA,,,no,Approved,2025-09-11,day,2026-08-18,censored_asof,341,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00099,external,loudoun_lola,Clintmar,VA,,,no,In Review,2026-03-09,day,2026-08-18,censored_asof,162,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00100,external,loudoun_lola,Ashburn Data Center Floodplain Alteration,VA,,,no,In Review,2026-04-01,day,2026-08-18,censored_asof,139,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00101,external,loudoun_lola,LOUDOUN METRO DATA CENTERS LM1 & LM2,VA,,,no,Approved,2013-06-19,day,2026-08-18,censored_asof,4808,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00102,external,loudoun_lola,ASHBURN NEXUS,VA,,,no,Approved,2018-02-06,day,2026-08-18,censored_asof,3115,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00103,external,loudoun_lola,606 DATA CENTER,VA,,,no,In Review,2018-06-27,day,2026-08-18,censored_asof,2974,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00104,external,loudoun_lola,CYRUSONE KINCORA LB Q PH 3,VA,,,no,Approved,2019-01-24,day,2026-08-18,censored_asof,2763,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00105,external,loudoun_lola,RAGINGWIRE VA3 GREENFIELDS,VA,,,no,Approved,2020-02-13,day,2026-08-18,censored_asof,2378,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00106,external,loudoun_lola,SDC ASHBURN ALPHA 1,VA,,,no,Approved,2020-10-22,day,2026-08-18,censored_asof,2126,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
ext_00107,external,loudoun_lola,DULLES BERRY LC8 DATA CENTER,VA,,,no,Approved,2022-07-19,day,2026-08-18,censored_asof,1491,0,https://logis.loudoun.gov/gis/rest/services/Projects/LOLA_DATA/MapServer/0/query
