audit_order,universe_id,name,operator,state,county,source,lifecycle_outcome,announced_date,capacity_mw,search_protocol
93,prj_54,Edged Energy Des Moines,Edged Energy,IA,polk,proposals_unopposed,advanced_confirmed,2025-03-01,13.0,Edged Energy Des Moines IA | Edged Energy Des Moines data center polk IA | polk IA data center opposition OR moratorium OR rezoning OR petition | Edged Energy data center IA residents
94,prj_86,Laurel Data Center,TPC Data Center via Mid-Atlantic LLC,MD,prince george's,proposals_unopposed,pending,2024-05-01,20.0,Laurel Data Center MD | Laurel Data Center data center prince george's MD | prince george's MD data center opposition OR moratorium OR rezoning OR petition | TPC Data Center via Mid-Atlantic LLC data center MD residents
95,aic_0022,Amazon Ridgeland,Amazon,MS,,ai_centers,,,0.0,Amazon Ridgeland MS | Amazon Ridgeland data center MS | MS data center opposition OR moratorium OR rezoning OR petition | Amazon data center MS residents
96,prj_314,East Manchester Farmland to Data Center Initiative Interest,Undisclosed Developer,PA,york,proposals_unopposed,pending,2025-12-01,,East Manchester Farmland to Data Center Initiative Interest PA | East Manchester Farmland to Data Center Initiative Interest data center york PA | york PA data center opposition OR moratorium OR rezoning OR petition | Undisclosed Developer data center PA residents
97,prj_183,Atlas Power Williston,FX Solutions Inc.; Atlas Power Group; Mountrail-Williams Electric Cooperative,ND,williams,proposals_unopposed,advanced_confirmed,2022-01-01,240.0,Atlas Power Williston ND | Atlas Power Williston data center williams ND | williams ND data center opposition OR moratorium OR rezoning OR petition | FX Solutions Inc.; Atlas Power Group; Mountrail-Williams Electric Cooperative data center ND residents
98,prj_211,Akron Data Center Expansion,ark data centers,OH,fulton,proposals_unopposed,advanced_confirmed,2026-03-01,,Akron Data Center Expansion OH | Akron Data Center Expansion data center fulton OH | fulton OH data center opposition OR moratorium OR rezoning OR petition | ark data centers data center OH residents
99,prj_286,East Brandywine Data Center,500 ER-EBY Trust,PA,chester,proposals_unopposed,pending,2026-05-01,,East Brandywine Data Center PA | East Brandywine Data Center data center chester PA | chester PA data center opposition OR moratorium OR rezoning OR petition | 500 ER-EBY Trust data center PA residents
100,prj_228,Microsoft New Albany Data Center,Microsoft,OH,licking,proposals_unopposed,advanced_confirmed,2023-09-28,,Microsoft New Albany Data Center OH | Microsoft New Albany Data Center data center licking OH | licking OH data center opposition OR moratorium OR rezoning OR petition | Microsoft data center OH residents
101,prj_53,Project Ruthenium,Microsoft,IA,madison,proposals_unopposed,pending,2023-11-01,,Project Ruthenium IA | Project Ruthenium data center madison IA | madison IA data center opposition OR moratorium OR rezoning OR petition | Microsoft data center IA residents
102,prj_262,Smithfield Gateway Project,DEPG Moiser Assoc LP,PA,monroe,proposals_unopposed,pending,2025-11-01,,Smithfield Gateway Project PA | Smithfield Gateway Project data center monroe PA | monroe PA data center opposition OR moratorium OR rezoning OR petition | DEPG Moiser Assoc LP data center PA residents
103,prj_13,VoltCore Bitcoin Mine,VoltCore,AL,morgan,proposals_unopposed,pending,,50.0,VoltCore Bitcoin Mine AL | VoltCore Bitcoin Mine data center morgan AL | morgan AL data center opposition OR moratorium OR rezoning OR petition | VoltCore data center AL residents
104,prj_61,Project Osmium,Microsoft,IA,warren,proposals_unopposed,advanced_confirmed,2016-01-01,,Project Osmium IA | Project Osmium data center warren IA | warren IA data center opposition OR moratorium OR rezoning OR petition | Microsoft data center IA residents
105,prj_308,Cumru Titus Data Center,Titus Development Co.; Go Energy Group,PA,berks,proposals_unopposed,pending,2026-05-01,200.0,Cumru Titus Data Center PA | Cumru Titus Data Center data center berks PA | berks PA data center opposition OR moratorium OR rezoning OR petition | Titus Development Co.; Go Energy Group data center PA residents
