fips,calibrated_score,has_enacted_restrictive,va_p_lower,va_p_upper,va_width,set_90,set_80,covered_90,covered_80
08091,0.0412,0,0.0,0.0571,0.0571,none_supported,none_supported,1,1
08093,0.0511,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
08095,0.0265,0,0.0,0.0263,0.0263,none_supported,none_supported,1,1
08097,0.0721,0,0.0234,0.1139,0.0905,none_supported,none_supported,1,1
08099,0.0386,0,0.0,0.0526,0.0526,none_supported,none_supported,1,1
08101,0.1366,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
08103,0.0244,0,0.0,0.026,0.026,none_supported,none_supported,1,1
08105,0.0435,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
08107,0.0629,0,0.0234,0.1,0.0766,none_supported,none_supported,1,1
08109,0.0325,0,0.0,0.039,0.039,none_supported,none_supported,1,1
08111,0.0184,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
08113,0.0517,0,0.0227,0.0761,0.0534,none_supported,none_supported,1,1
08115,0.019,0,0.0,0.0187,0.0187,none_supported,none_supported,1,1
08117,0.0919,0,0.0743,0.1591,0.0848,none_supported,none_supported,1,1
08119,0.0617,1,0.0234,0.08,0.0566,none_supported,none_supported,0,0
08121,0.0224,0,0.0,0.0204,0.0204,none_supported,none_supported,1,1
08123,0.1627,1,0.1714,0.2589,0.0875,none_supported,none_supported,0,0
08125,0.027,0,0.0,0.039,0.039,none_supported,none_supported,1,1
09110,0.3535,0,0.2623,0.5294,0.2671,none_supported,atypical,1,0
09120,0.2918,0,0.25,0.4375,0.1875,none_supported,atypical,1,0
09130,0.1907,0,0.1714,0.2787,0.1073,none_supported,atypical,1,0
09140,0.2411,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
09150,0.1239,0,0.1667,0.2589,0.0923,none_supported,none_supported,1,1
09160,0.1339,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
09170,0.3237,0,0.25,0.5294,0.2794,none_supported,atypical,1,0
09180,0.2186,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
09190,0.3231,0,0.2623,0.5294,0.2671,none_supported,atypical,1,0
10001,0.1768,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
10003,0.8725,1,0.6,1.0,0.4,enacted_supported,enacted_supported,1,1
10005,0.1758,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
11001,0.4982,0,0.2647,0.6667,0.402,none_supported,atypical,1,0
12001,0.2397,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12003,0.0549,0,0.0106,0.0748,0.0641,none_supported,none_supported,1,1
12005,0.1424,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12007,0.0645,0,0.0234,0.0833,0.0599,none_supported,none_supported,1,1
12009,0.2326,0,0.1735,0.3,0.1265,none_supported,atypical,1,0
12011,0.4796,0,0.2623,0.5652,0.3029,none_supported,atypical,1,0
12013,0.0391,0,0.0106,0.0714,0.0608,none_supported,none_supported,1,1
12015,0.1521,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12017,0.1301,1,0.1707,0.2589,0.0882,none_supported,none_supported,0,0
12019,0.1607,1,0.1714,0.2589,0.0875,none_supported,none_supported,0,0
12021,0.1833,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
12023,0.0889,0,0.0743,0.1765,0.1022,none_supported,none_supported,1,1
12027,0.0729,0,0.0465,0.0875,0.041,none_supported,none_supported,1,1
12029,0.0435,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12031,0.3456,0,0.2623,0.5294,0.2671,none_supported,atypical,1,0
12033,0.2,0,0.1735,0.2812,0.1078,none_supported,atypical,1,0
12035,0.1378,0,0.1707,0.2589,0.0882,none_supported,none_supported,1,1
12037,0.0463,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12039,0.1095,0,0.0743,0.2195,0.1452,none_supported,none_supported,1,1
12041,0.0497,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12043,0.0419,0,0.0106,0.0679,0.0572,none_supported,none_supported,1,1
12045,0.0436,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12047,0.0476,0,0.0106,0.0721,0.0615,none_supported,none_supported,1,1
12049,0.0572,0,0.0234,0.0769,0.0535,none_supported,none_supported,1,1
12051,0.0683,0,0.0465,0.0968,0.0503,none_supported,none_supported,1,1
12053,0.1554,0,0.1714,0.2589,0.0875,none_supported,none_supported,1,1
