Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Franklin County,Franklin County,2026-03,Unknown,"Franklin County, IA",moratorium,1,https://mjbommar.github.io/moratorium-data-2026/states/iowa.html,IA,Franklin County,local,zoning,Enact a moratorium on data-center development in Franklin County,county_commission,active,win,,,,,,,,,"Franklin County (IA) enacted a moratorium on data-center and related development, effective 2026-03. Instrument: Ordinance 2026A — ""AN ORDINANCE AUTHORIZING A MORATORIUM ON NEW PERMIT APPLICATIONS FOR DEVELOPMENT OF DATA CENTER PROJECTS WITHIN THE UNINCORPORATED AREA OF FRANKLIN COUNTY, IOWA"" (public hearing not. Stated basis: County evaluation of impacts and planning needs for data center projects in unincorporated areas.. Recorded from the Moratorium Nation inventory (CC-BY-4.0); candidate generated by census_gap_candidates.py to close a coverage-audit gap.","https://mjbommar.github.io/moratorium-data-2026/states/iowa.html; moratorium-nation:ia-franklin-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,moratorium_nation_ingest,42.728591,-93.251317
Shelby County,Shelby County,2026-03-17,Unknown,"Shelby County, IA",moratorium,1,https://mjbommar.github.io/moratorium-data-2026/states/iowa.html,IA,Shelby County,local,zoning; community_impact; environmental,Enact a moratorium on data-center development in Shelby County,county_commission,active,win,,,,,,,,,"Shelby County (IA) enacted a moratorium on data-center and related development, effective 2026-03-17. Instrument: Resolution 2026-16. Stated basis: No ordinance governing commercial digital asset mining/data centers; concerns about infrastructure, natural resources, property rights, area character, and public health, safety, a. Recorded from the Moratorium Nation inventory (CC-BY-4.0); candidate generated by census_gap_candidates.py to close a coverage-audit gap.","https://mjbommar.github.io/moratorium-data-2026/states/iowa.html; moratorium-nation:ia-shelby-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)",,,,,,moratorium_nation_ingest,41.668243,-95.316362
Cherokee County,Cherokee County,,Unknown,"Cherokee County, NC",moratorium,1,https://www.law360.com/articles/2511658,NC,Cherokee County,local,zoning,Enact a moratorium on data-center development in Cherokee County,county_commission,active,win,,,,,,,,,Cherokee County (NC) enacted a moratorium on data-center and related development. Census-derived candidate generated by census_gap_candidates.py; the external census records this instrument with no matching tracker row. Verify against the cited source before promoting.,"https://www.law360.com/articles/2511658 (hawthorn-tva-review-2026-08-21: date and precise ordinance status uncertain across sources, see review note)",,,,,,coverage_audit_worklist,,
