action,state,county,fips,in_frame_basis,census_status,census_date,gap_class,label_check,model_label,label_divergence,tracker_restrictive_records,tracker_nonterminal_records,stale_nonterminal_records,latest_tracker_date,adjacency_priority,enacted_neighbors,census_source
reverify_stale_nonterminal_restrictive,NC,Haywood County,37087,state_expansion,,,,,1,0,2,1,1,2026-04-16,,,
reverify_stale_nonterminal_restrictive,NC,Henderson County,37089,state_expansion,,,,,1,0,1,1,1,2023-05-01,,,
reverify_stale_nonterminal_restrictive,NC,Lee County,37105,state_expansion,,,,,1,0,3,3,1,2026-07-16,,,
reverify_stale_nonterminal_restrictive,NC,Madison County,37115,state_expansion,expired,2023-06-13,covered_unconfirmed,agree,1,0,1,1,1,2023-06-13,,,"moratorium-nation:nc-madison-county-2023 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,NC,Mecklenburg County,37119,state_expansion,,,,,1,0,2,1,1,2026-06-08,,,
reverify_stale_nonterminal_restrictive,NC,Rowan County,37159,state_expansion,active,2026-04-20,covered_confirmed,agree,1,0,2,1,1,2026-04-21,,,"moratorium-nation:nc-rowan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,NC,Wake County,37183,state_expansion,,,,,1,0,2,1,1,2026-03-10,,,
reverify_stale_nonterminal_restrictive,NC,Watauga County,37189,state_expansion,pending,,census_pending_out_of_scope,out_of_scope,1,0,2,1,1,2026-03-24,,,"moratorium-nation:nc-watauga-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,TN,Davidson County,47037,state_expansion,,,,,1,0,3,2,1,2026-07-21,,,
reverify_stale_nonterminal_restrictive,TN,DeKalb County,47041,state_expansion,,,,,1,0,2,2,2,2026-03-01,,,
reverify_stale_nonterminal_restrictive,TN,Moore County,47127,state_expansion,,,,,0,0,1,1,1,2026-03-01,1,1,
reverify_stale_nonterminal_restrictive,TN,Sullivan County,47163,state_expansion,expired,2025-12-18,covered_confirmed,agree,1,0,2,1,1,2025-11-20,,,"moratorium-nation:tn-sullivan-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
reverify_stale_nonterminal_restrictive,VA,Albemarle County,51003,state_expansion,,,,,0,0,1,1,1,2025-10-01,4,1,
reverify_stale_nonterminal_restrictive,VA,Campbell County,51031,state_expansion,,,,,1,0,2,1,1,2026-05-05,,,
reverify_stale_nonterminal_restrictive,VA,Chesterfield County,51041,state_expansion,,,,,1,0,2,2,1,2026-03-09,,,
reverify_stale_nonterminal_restrictive,VA,Mecklenburg County,51117,state_expansion,,,,,1,0,1,1,1,2025-03-01,,,
reverify_stale_nonterminal_restrictive,VA,New Kent County,51127,state_expansion,,,,,0,0,1,1,1,2026-02-17,1,1,
reverify_stale_nonterminal_restrictive,VA,Orange County,51137,state_expansion,,,,,0,0,1,1,1,2025-09-01,1,2,
reverify_stale_nonterminal_restrictive,VA,Prince William County,51153,state_expansion,,,,,0,0,6,2,1,2026-08-14,4,4,
reverify_stale_nonterminal_restrictive,VA,Spotsylvania County,51177,state_expansion,,,,,1,0,3,2,1,2026-08-12,,,
confirm_unconfirmed_coverage,GA,Coweta County,13077,state_expansion,replaced,2025-05,covered_unconfirmed,agree,1,0,1,1,0,2026-06-16,,,"moratorium-nation:ga-coweta-county-2025 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
confirm_unconfirmed_coverage,KY,Simpson County,21213,state_expansion,active,2025-12,covered_unconfirmed,agree,1,0,1,0,0,,,,"https://www.lpm.org/news/2026-01-28/data-center-developer-sues-simpson-county-government-over-land-use-ordinance (hawthorn-tva-review-2026-08-21: ordinance 440.70, under litigation)"
check_adjacent_enactment,AL,Tuscaloosa County,01125,state_expansion,,,,,0,0,1,1,0,2026-08-11,1,1,
check_adjacent_enactment,GA,Baker County,13007,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,GA,Bartow County,13015,state_expansion,,,,,0,0,1,0,0,2025-04-28,2,5,
check_adjacent_enactment,GA,Carroll County,13045,state_expansion,,,,,0,0,1,0,0,2026-01-28,2,3,
check_adjacent_enactment,GA,Dawson County,13085,state_expansion,,,,,0,0,0,0,0,,2,4,
check_adjacent_enactment,GA,Gwinnett County,13135,state_expansion,,,,,0,0,0,0,0,,2,6,
check_adjacent_enactment,GA,Lee County,13177,state_expansion,,,,,0,0,1,1,0,2026-06-23,1,1,
check_adjacent_enactment,GA,Meriwether County,13199,state_expansion,,,,,0,0,0,0,0,,2,4,
check_adjacent_enactment,GA,Mitchell County,13205,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,GA,Paulding County,13223,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,GA,Pickens County,13227,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,GA,Whitfield County,13313,state_expansion,,,,,0,0,1,0,0,2025-03-11,2,3,
check_adjacent_enactment,KY,Allen County,21003,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,KY,Jefferson County,21111,state_expansion,,,,,0,0,2,1,0,2026-05-11,1,2,
check_adjacent_enactment,KY,Jessamine County,21113,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,KY,Logan County,21141,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,KY,Mason County,21161,state_expansion,,,,,0,0,1,0,0,2026-03-27,2,2,
check_adjacent_enactment,KY,Ohio County,21183,state_expansion,,,,,0,0,0,0,0,,2,4,
check_adjacent_enactment,KY,Warren County,21227,state_expansion,,,,,0,0,1,1,0,2026-06-16,1,3,
check_adjacent_enactment,NC,Gaston County,37071,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,NC,Granville County,37077,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,NC,Iredell County,37097,state_expansion,,,,,0,0,1,0,0,2025-08-13,2,2,
check_adjacent_enactment,NC,Macon County,37113,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,NC,Moore County,37125,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,NC,Person County,37145,state_expansion,,,,,0,0,0,0,0,,2,2,
check_adjacent_enactment,NC,Stokes County,37169,state_expansion,,,,,0,0,2,1,0,2026-08-14,1,1,
check_adjacent_enactment,NC,Yadkin County,37197,state_expansion,,,,,0,0,1,1,0,2026-08-19,1,1,
check_adjacent_enactment,TN,Blount County,47009,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,TN,Cannon County,47015,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,TN,Grainger County,47057,state_expansion,,,,,0,0,0,0,0,,2,2,
check_adjacent_enactment,TN,Greene County,47059,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,TN,Johnson County,47091,state_expansion,,,,,0,0,0,0,0,,2,2,
check_adjacent_enactment,TN,Sequatchie County,47153,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,TN,Sevier County,47155,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,TN,Wilson County,47189,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,VA,Clarke County,51043,state_expansion,,,,,0,0,0,0,0,,2,3,
check_adjacent_enactment,VA,Rappahannock County,51157,state_expansion,,,,,0,0,0,0,0,,2,3,
covered,AL,Cullman County,01043,state_expansion,,,,,1,0,1,0,0,2026-06-22,,,
covered,AL,Jefferson County,01073,state_expansion,,,,,1,0,5,3,0,2026-07-13,,,
covered,AL,Shelby County,01117,state_expansion,,,,,1,0,1,0,0,2026-02-17,,,
covered,GA,Bulloch County,13031,state_expansion,active,2026-02-17,covered_confirmed,agree,1,0,1,0,0,2026-05-05,,,"moratorium-nation:ga-bulloch-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
covered,GA,Camden County,13039,state_expansion,,,,,1,0,1,0,0,2026-05-05,,,
