severity,flag,opp_id,state,identifier,recorded_status,recorded_normalized,stage,correct_outcome,stage_date,stage_evidence,possible_sine_die,openstates_url,incident,date,note
MEDIUM,recorded_terminal_but_bill_in_progress,opp_8ac39cf790db,MD,HB 560,died,Blocked,Introduced,Pending,2026-01-28,introduction: First Reading Ways and Means,,https://openstates.org/md/bills/2026/HB560/,Maryland (HB 560),2026-01-01,
MEDIUM,terminal_disposition_not_yet_recorded,opp_3b5566fafd13,ME,LD 307,pending,Pending,Failed floor vote,Blocked,2026-04-29,failure: Placed in the Legislative Files. (DEAD),,https://openstates.org/me/bills/132/LD307/,Jay,2026-03-13,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_f92916918afc,MO,HB 3362,dead,Blocked,Introduced,Pending,2026-02-19,introduction: Introduced and Read First Time (H),,https://openstates.org/mo/bills/2026/HB3362/,Missouri (statewide legislation),2026-02-26,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_760001b8a3c1,MO,HB 3362,dead,Blocked,Introduced,Pending,2026-02-19,introduction: Introduced and Read First Time (H),,https://openstates.org/mo/bills/2026/HB3362/,Missouri (AI Infrastructure Act),2026-02-26,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_f92916918afc,MO,HB 3364,dead,Blocked,Introduced,Pending,2026-02-19,introduction: Introduced and Read First Time (H),,https://openstates.org/mo/bills/2026/HB3364/,Missouri (statewide legislation),2026-02-26,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_760001b8a3c1,MO,HB 3364,dead,Blocked,Introduced,Pending,2026-02-19,introduction: Introduced and Read First Time (H),,https://openstates.org/mo/bills/2026/HB3364/,Missouri (AI Infrastructure Act),2026-02-26,
MEDIUM,terminal_disposition_not_yet_recorded,opp_05b569208bd2,NC,SB 730,pending,Pending,Passed both chambers,Approved,2026-06-03,passage recorded in 2 chambers,,https://openstates.org/nc/bills/2025/SB730/,North Carolina General Assembly (SB 730 — closed-loop water + foreign-ownership ban for data centers),2026-06-08,
MEDIUM,terminal_disposition_not_yet_recorded,opp_068678987d3f,NE,LB 1111,pending,Pending,Died in committee,Blocked,2026-04-17,committee-failure: Indefinitely postponed,,https://openstates.org/ne/bills/109/LB1111/,Nebraska (statewide),2026-01-16,
MEDIUM,terminal_disposition_not_yet_recorded,opp_3627a9dfe4fb,NE,LB 1111,active,Pending,Died in committee,Blocked,2026-04-17,committee-failure: Indefinitely postponed,,https://openstates.org/ne/bills/109/LB1111/,State of Nebraska,2026-07-20,
MEDIUM,terminal_disposition_not_yet_recorded,opp_648efe1bdfff,NE,LB 209,active,Pending,Signed into law,Approved,2025-02-26,"executive-signature: Approved by Governor on February 25, 2025",,https://openstates.org/ne/bills/109/LB209/,Sarpy County,2026-02-01,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_e68cad835453,NJ,A 796,defeated,Blocked,Passed one chamber,Pending,2026-06-30,passage in lower,,https://openstates.org/nj/bills/222/A796/,New Jersey (A5462 Conditional Veto),2026-01-21,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_e68cad835453,NJ,S 731,defeated,Blocked,Introduced,Pending,2026-01-13,"introduction: Introduced in the Senate, Referred to Senate Economic Growth Committee",,https://openstates.org/nj/bills/222/S731/,New Jersey (A5462 Conditional Veto),2026-01-21,
MEDIUM,terminal_disposition_not_yet_recorded,opp_4f7ecaba5fff,OH,HB 646,delayed,Pending,Passed both chambers,Approved,2026-06-10,passage recorded in 2 chambers,,https://openstates.org/oh/bills/136/HB646/,Ohio (HB 646 study commission),2026-06-11,
MEDIUM,terminal_disposition_not_yet_recorded,opp_3d6145630316,OH,HB 96,active,Pending,Signed into law,Approved,2025-06-30,became-law: Signed By The Governor,,https://openstates.org/oh/bills/136/HB96/,Ohio (tax exemption veto override effort),2026-03-01,
MEDIUM,terminal_disposition_not_yet_recorded,opp_279e05762166,OK,HB 2992,active,Pending,Signed into law,Approved,2026-05-11,executive-signature: Approved by Governor 05/11/2026,,https://openstates.org/ok/bills/2026/HB2992/,Oklahoma (HB 2992),2026-01-08,
MEDIUM,terminal_disposition_not_yet_recorded,opp_1f9faef9a21f,OR,HB 4084,filed,Pending,Signed into law,Approved,2026-03-31,executive-signature: Governor signed.,,https://openstates.org/or/bills/2026R1/HB4084/,"Hillsboro City Council (Councilor Sinclair emergency session on Enterprise Zone tax breaks), OR",2026-05-11,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_d56f07501657,TN,HB 2392,died,Blocked,Introduced,Pending,2026-02-03,introduction: Filed for introduction,,https://openstates.org/tn/bills/114/HB2392/,Tennessee (SB 2653 impact review act),2026-02-02,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_d56f07501657,TN,SB 2653,died,Blocked,Introduced,Pending,2026-02-02,"introduction: Introduced, Passed on First Consideration",,https://openstates.org/tn/bills/114/SB2653/,Tennessee (SB 2653 impact review act),2026-02-02,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_548024876132,VA,HB 155,defeated,Blocked,Introduced,Pending,2026-01-06,introduction: Prefiled and ordered printed; Offered 01-14-2026 26102983D,,https://openstates.org/va/bills/2026/HB155/,Virginia (SB 619 / HB 155),2026-01-01,
MEDIUM,terminal_disposition_not_yet_recorded,opp_6a0f475f6528,VA,HB 507,active,Pending,Signed into law,Approved,2026-04-08,executive-signature: Approved by Governor-Chapter 397 (effective 7/1/2026),,https://openstates.org/va/bills/2026/HB507/,Commonwealth of Virginia (data center electricity consumption tax + Tier IV generator permit rule take effect),2026-07-01,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_548024876132,VA,SB 619,defeated,Blocked,Passed one chamber,Pending,2026-02-16,passage in upper,,https://openstates.org/va/bills/2026/SB619/,Virginia (SB 619 / HB 155),2026-01-01,
MEDIUM,recorded_terminal_but_bill_in_progress,opp_db6ed2ba989e,WI,AB 840,defeated,Blocked,Passed one chamber,Pending,2026-01-20,passage in lower,,https://openstates.org/wi/bills/2025/AB840/,Wisconsin (AB 840 / SB 843 GOP regulation),2026-01-09,
MEDIUM,terminal_disposition_not_yet_recorded,opp_021c2c472697,WV,HB 2014,active,Pending,Signed into law,Approved,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,,https://openstates.org/wv/bills/2025/HB2014/,Berkeley County,2026-02-26,
LOW,possible_sine_die_unconfirmed,opp_ec76fb0ac2f1,DE,HB 233,pending,Pending,Introduced,Pending,2023-06-16,introduction: Introduced and Assigned to Revenue & Finance Committee in House,yes,https://openstates.org/de/bills/152/HB233/,Delaware (statewide),2025-09-29,
LOW,possible_sine_die_unconfirmed,opp_323cf409c293,DE,HB 233,pending,Pending,Introduced,Pending,2023-06-16,introduction: Introduced and Assigned to Revenue & Finance Committee in House,yes,https://openstates.org/de/bills/152/HB233/,"State of Delaware (SB 326, HB 233, HB 445 -- data center energy/ratepayer bills)",2026-07-01,
LOW,possible_sine_die_unconfirmed,opp_2f1153a6f830,NC,HB 1002,pending,Pending,Introduced,Pending,2025-04-14,"introduction: Ref To Com On Rules, Calendar, and Operations of the House",yes,https://openstates.org/nc/bills/2025/HB1002/,North Carolina (statewide HB 1002),2026-02-01,
LOW,recorded_status_unclassifiable,opp_f7a3f9dd872e,NH,SB 439,postponed,Unclassified,Passed one chamber,Pending,2026-01-29,passage in upper,,https://openstates.org/nh/bills/2026/SB439/,New Hampshire (SB 439 municipal zoning),2026-01-29,
LOW,possible_sine_die_unconfirmed,opp_2b075f6cdc12,TX,SB 6,active,Pending,Passed one chamber,Pending,2025-08-12,passage in upper,yes,https://openstates.org/tx/bills/891/SB6/,Texas (PUCT rulemaking),2026-03-06,
LOW,recorded_status_unclassifiable,opp_1ea05e5b34c9,WA,HB 2515,resolved,Unclassified,Died in committee,Blocked,2026-02-02,committee-passage-unfavorable: Minority; do not pass.,,https://openstates.org/wa/bills/2025-2026/HB2515/,Washington (statewide),2026-02-11,
LOW,recorded_status_unclassifiable,opp_1ea05e5b34c9,WA,SB 5982,resolved,Unclassified,Signed into law,Approved,2026-03-24,executive-signature: Governor signed.,,https://openstates.org/wa/bills/2025-2026/SB5982/,Washington (statewide),2026-02-11,
LOW,recorded_status_unclassifiable,opp_de333026ebdf,WV,HB 2014,considering,Unclassified,Signed into law,Approved,2025-04-12,executive-signature: Approved by Governor 4/30/2025 - Senate Journal,,https://openstates.org/wv/bills/2025/HB2014/,West Virginia Legislature (bill affirming state control / limiting local authority over data centers),2026-05-18,
