fips,raw_oof_score,calibrated_score,score_decile,has_enacted_restrictive
32510,0.1513,0.1549,9,0
33001,0.1189,0.1173,8,0
33003,0.1075,0.1053,8,0
33005,0.1246,0.1232,8,0
33007,0.0566,0.0496,4,0
33009,0.1406,0.1419,9,0
33011,0.2444,0.2596,10,0
33013,0.163,0.1639,9,0
33015,0.3614,0.3776,10,0
33017,0.2008,0.2042,9,0
33019,0.0947,0.0921,7,0
34001,0.1781,0.1848,9,0
34003,0.4487,0.4892,10,0
34005,0.2401,0.2605,10,1
34007,0.2702,0.289,10,1
34009,0.1546,0.1536,9,0
34011,0.2916,0.3029,10,1
34013,0.4939,0.5385,10,0
34015,0.4001,0.4221,10,0
34017,0.5967,0.6752,10,0
34019,0.215,0.2189,9,0
34021,0.3152,0.3399,10,0
34023,0.5402,0.5882,10,1
34025,0.3684,0.3873,10,1
34027,0.3298,0.3435,10,0
34029,0.2499,0.2724,10,0
34031,0.3264,0.3526,10,0
34033,0.0972,0.0947,7,0
34035,0.4572,0.4843,10,1
34037,0.2986,0.3211,10,0
34039,0.4584,0.4818,10,1
34041,0.149,0.1476,9,1
35001,0.4374,0.4767,10,1
35003,0.0308,0.0245,1,0
35005,0.0797,0.0767,7,0
35006,0.0592,0.0544,5,0
35007,0.0474,0.0427,4,0
35009,0.0907,0.0863,7,0
35011,0.0189,0.016,1,0
35013,0.1934,0.1954,9,0
35015,0.0867,0.0822,7,0
35017,0.0775,0.0745,7,0
35019,0.0302,0.0263,1,0
35021,0.0221,0.0196,1,0
35023,0.031,0.0265,1,0
35025,0.087,0.0816,7,0
35027,0.0636,0.0568,5,0
35028,0.2417,0.2625,10,0
35029,0.0589,0.0519,5,0
35031,0.0713,0.0665,6,0
35033,0.0373,0.0342,2,0
35035,0.0835,0.0789,7,0
35037,0.0421,0.0371,3,0
35039,0.0643,0.061,6,0
35041,0.0624,0.0555,5,0
35043,0.1512,0.1499,9,0
35045,0.1049,0.1027,8,0
35047,0.0694,0.0662,6,0
35049,0.2289,0.2345,9,1
35051,0.0421,0.0372,3,0
35053,0.048,0.0433,4,1
35055,0.1088,0.1067,8,0
35057,0.0475,0.0404,3,0
35059,0.0309,0.0265,1,0
35061,0.1712,0.1726,9,0
36001,0.3833,0.4037,10,0
36003,0.0826,0.0768,7,0
36005,0.3985,0.4335,10,0
36007,0.1717,0.1731,9,0
36009,0.0887,0.0834,7,0
36011,0.1071,0.1033,8,0
36013,0.2271,0.2448,10,0
36015,0.1262,0.1253,8,0
36017,0.0755,0.0708,6,0
36019,0.1076,0.1043,8,0
36021,0.1263,0.1235,8,0
36023,0.0992,0.0951,7,0
36025,0.0813,0.0788,7,0
36027,0.2234,0.2324,9,0
36029,0.4301,0.4657,10,0
36031,0.0794,0.0768,7,0
36033,0.0761,0.073,6,0
36035,0.0917,0.0874,7,0
36037,0.1921,0.2005,9,0
36039,0.0974,0.0937,7,0
36041,0.0327,0.0291,2,0
36043,0.163,0.1639,9,0
36045,0.1172,0.1151,8,0
36047,0.5799,0.6282,10,0
36049,0.0582,0.0549,5,0
36051,0.1131,0.113,8,0
36053,0.1111,0.1081,8,0
36055,0.3304,0.357,10,0
36057,0.093,0.0903,7,0
36059,0.4529,0.516,10,1
36061,0.7299,0.7795,10,0
36063,0.2657,0.2744,10,1
36065,0.1611,0.1605,9,0
36067,0.3884,0.4068,10,1
36069,0.1589,0.1631,9,0
36071,0.2181,0.2229,9,0
36073,0.0793,0.0762,7,0
36075,0.1162,0.1128,8,0
36077,0.2096,0.2203,9,1
36079,0.1943,0.1997,9,0
36081,0.4999,0.5698,10,0
36083,0.1851,0.1942,9,0
36085,0.4029,0.4353,10,0
36087,0.3946,0.4292,10,0
36089,0.1933,0.204,9,0
36091,0.2248,0.2301,9,0
36093,0.2003,0.2037,9,0
36095,0.0748,0.0684,6,0
36097,0.069,0.0642,6,0
36099,0.085,0.0827,7,0
36101,0.1077,0.1039,8,0
36103,0.5214,0.5485,10,0
36105,0.1124,0.1088,8,0
36107,0.096,0.0913,7,0
36109,0.3807,0.3985,10,1
36111,0.1784,0.1803,9,0
36113,0.1164,0.1147,8,0
36115,0.0874,0.0831,7,0
36117,0.1195,0.1163,8,0
36119,0.466,0.5311,10,0
36121,0.0767,0.0736,6,0
36123,0.0775,0.0713,6,0
37001,0.1576,0.1582,9,0
37003,0.0728,0.0664,6,0
37005,0.054,0.0492,4,0
37007,0.0487,0.0454,4,0
37009,0.0696,0.0664,6,0
37011,0.0636,0.0603,5,0
37013,0.0727,0.0697,6,0
37015,0.0478,0.0427,4,0
37017,0.0612,0.0579,5,0
37019,0.148,0.1483,9,0
37021,0.2283,0.2338,9,1
37023,0.1062,0.1024,8,0
37025,0.2088,0.2159,9,0
37027,0.2221,0.2344,9,0
37029,0.0541,0.047,4,0
37031,0.1178,0.1161,8,0
37033,0.058,0.0547,5,0
37035,0.2055,0.2157,9,0
37037,0.1598,0.1642,9,1
37039,0.1483,0.1487,9,0
37041,0.0625,0.0592,5,0
37043,0.0639,0.057,5,1
37045,0.1284,0.1277,8,1
37047,0.0691,0.066,6,0
37049,0.1157,0.1132,8,0
37051,0.5128,0.5843,10,1
37053,0.0889,0.0844,7,0
37055,0.1212,0.1181,8,0
37057,0.1318,0.1317,8,0
37059,0.0988,0.0944,7,0
37061,0.0738,0.069,6,0
