opposed_project_id,opposed_project_name,opposed_state,opposed_lifecycle_outcome,opposed_decided,opposed_capacity_mw,opposed_county_margin_2024,control_rank,control_universe_id,control_name,control_source,control_state,control_capacity_mw,control_county_margin_2024,match_distance,match_basis,match_relaxation,match_scope
prj_199,Van Wert Mega Site,OH,pending,no,500.0,-0.5850,1,prj_207,Bitdeer Clarington Data Center,proposals_unopposed,OH,,-0.5976,0.0126,margin,state+tercile+caliper,in_state
prj_199,Van Wert Mega Site,OH,pending,no,500.0,-0.5850,2,prj_198,Project Galaxy,proposals_unopposed,OH,,-0.6481,0.0631,margin,state+tercile+caliper,in_state
prj_199,Van Wert Mega Site,OH,pending,no,500.0,-0.5850,3,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.1172,margin+log_mw,state+tercile+caliper,in_state
prj_200,Stargate Project - Lordstown AI Data Center Campus,OH,pending,no,,-0.1681,1,atl_00324,Unknown,atlas,OH,,-0.1415,0.7266,margin,state+tercile+caliper,in_state
prj_200,Stargate Project - Lordstown AI Data Center Campus,OH,pending,no,,-0.1681,2,atl_01104,Google,atlas,OH,,-0.2405,0.7724,margin,state+tercile+caliper,in_state
prj_200,Stargate Project - Lordstown AI Data Center Campus,OH,pending,no,,-0.1681,3,atl_01043,Carrier Services Group,atlas,OH,,-0.0942,0.7739,margin,state+tercile+caliper,in_state
prj_201,Lordstown Data Center,OH,pending,no,600.0,,1,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.3010,log_mw,state,in_state
prj_201,Lordstown Data Center,OH,pending,no,600.0,,2,aic_0003,Meta Prometheus,ai_centers,OH,531.0,,0.4031,log_mw,state,in_state
prj_201,Lordstown Data Center,OH,pending,no,600.0,,3,prj_204,Cologix Lewis Center Data Center,proposals_unopposed,OH,120.0,-0.0659,0.6990,log_mw,state,in_state
prj_203,Project Cosmos,OH,advanced_confirmed,yes,,-0.2963,1,prj_208,NEO-01 / Sandusky Data Center,proposals_unopposed,OH,96.0,-0.3087,0.0124,margin,state+tercile+caliper,in_state
prj_203,Project Cosmos,OH,advanced_confirmed,yes,,-0.2963,2,atl_00018,CyrusOne Cincinnati-Mason CIN3,atlas,OH,,-0.3152,0.7189,margin,state+tercile+caliper,in_state
prj_203,Project Cosmos,OH,advanced_confirmed,yes,,-0.2963,3,atl_00074,CyrusOne Cincinnati-Lebanon,atlas,OH,,-0.3152,0.7189,margin,state+tercile+caliper,in_state
prj_205,Strata Expanse AI Center of Excellence,OH,advanced_confirmed,yes,,-0.5054,1,prj_218,PORTS Technology Center,proposals_unopposed,OH,10000.0,-0.5368,0.0314,margin,state+tercile+caliper,in_state
prj_205,Strata Expanse AI Center of Excellence,OH,advanced_confirmed,yes,,-0.5054,2,prj_211,Akron Data Center Expansion,proposals_unopposed,OH,,-0.4240,0.0814,margin,state+tercile+caliper,in_state
prj_205,Strata Expanse AI Center of Excellence,OH,advanced_confirmed,yes,,-0.5054,3,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.0922,margin,state+tercile+caliper,in_state
prj_212,AWS Wilmington Data Center,OH,pending,no,,-0.5463,1,prj_218,PORTS Technology Center,proposals_unopposed,OH,10000.0,-0.5368,0.0095,margin,state+tercile+caliper,in_state
prj_212,AWS Wilmington Data Center,OH,pending,no,,-0.5463,2,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.0513,margin,state+tercile+caliper,in_state
prj_212,AWS Wilmington Data Center,OH,pending,no,,-0.5463,3,prj_207,Bitdeer Clarington Data Center,proposals_unopposed,OH,,-0.5976,0.0513,margin,state+tercile+caliper,in_state
prj_213,Mt. Orab Mega Site,OH,pending,no,,-0.6151,1,prj_206,Hannibal Data Center Campus,proposals_unopposed,OH,300.0,-0.5976,0.0175,margin,state+tercile+caliper,in_state
prj_213,Mt. Orab Mega Site,OH,pending,no,,-0.6151,2,prj_207,Bitdeer Clarington Data Center,proposals_unopposed,OH,,-0.5976,0.0175,margin,state+tercile+caliper,in_state
prj_213,Mt. Orab Mega Site,OH,pending,no,,-0.6151,3,prj_198,Project Galaxy,proposals_unopposed,OH,,-0.6481,0.0330,margin,state+tercile+caliper,in_state
