decided_at,state,county,census_status,date_enacted,decision,reason,confidence_tier,upstream_seen,batch_verdict,source
2026-09-21,IA,Cedar County,active,2026-05-26,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-cedar-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Des Moines County,active,2026-05-19,promote,,thin,206,batch_ok,"moratorium-nation:ia-des-moines-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Dickinson County,active,2026-05-12,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-dickinson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Dubuque County,active,2026-05-26,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-dubuque-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Ida County,active,2026-06-30,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-ida-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Lee County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-lee-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Linn County,active,2026-07-01,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-linn-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Madison County,active,2026-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-madison-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Palo Alto County,active,2026-07-08,promote,,thin,206,batch_ok,"moratorium-nation:ia-palo-alto-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Plymouth County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-plymouth-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Sioux County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:ia-sioux-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Taylor County,active,2026-05-07,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ia-taylor-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,IA,Woodbury County,active,2026-06-23,promote,,corroborated,206,batch_ok,"moratorium-nation:ia-woodbury-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KS,Geary County,active,2026-06-22,promote,,thin,206,batch_ok,"moratorium-nation:ks-geary-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KS,Lyon County,active,2026-07-23,promote,,corroborated,206,batch_ok,"moratorium-nation:ks-lyon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Bell County,active,2026-07-02,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-bell-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Boyle County,active,2026-06-09,promote,,thin,206,batch_ok,"moratorium-nation:ky-boyle-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Bullitt County,active,2026-07-21,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-bullitt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Daviess County,active,2026-05-28,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ky-daviess-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Edmonson County,active,2026-06-08,promote,,thin,206,batch_ok,"moratorium-nation:ky-edmonson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Mercer County Fiscal Court,pending,,hold,does not join county frame,,206,batch_ok,"moratorium-nation:ky-mercer-county-fiscal-court-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,KY,Nelson County,active,2026-07-07,promote,,thin,206,batch_ok,"moratorium-nation:ky-nelson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,LA,St. Charles Parish,replaced,,hold,no ISO date,,206,batch_ok,"moratorium-nation:la-st-charles-parish-undated (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Frederick County,active,2026-07-01,promote,,corroborated,206,batch_ok,"moratorium-nation:md-frederick-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Howard County,pending,2026-06-01,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:md-howard-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Montgomery County,active,2026-07-28,promote,,corroborated,206,batch_ok,"moratorium-nation:md-montgomery-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Washington County,active,2026-06-30,promote,,thin,206,batch_ok,"moratorium-nation:md-washington-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MD,Worcester County,pending,2026-07-07,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:md-worcester-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MI,Delta County,active,2026-07-21,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mi-delta-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MI,Huron County,active,2026-05-27,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mi-huron-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MN,Le Sueur County,active,2026-05-26,promote,,thin,206,batch_ok,"moratorium-nation:mn-le-sueur-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MN,Wright County,active,2026-05-19,promote,,corroborated,206,batch_ok,"moratorium-nation:mn-wright-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Marion County,active,2026-06-15,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:mo-marion-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Nodaway County,active,2026-07-21,promote,,thin,206,batch_ok,"moratorium-nation:mo-nodaway-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,St. Charles County,active,2026-07-13,promote,,corroborated,206,batch_ok,"moratorium-nation:mo-st-charles-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MO,Webster County,active,2026-06-16,promote,,thin,206,batch_ok,"moratorium-nation:mo-webster-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,MT,Missoula County,active,2026-07-09,promote,,corroborated,206,batch_ok,"moratorium-nation:mt-missoula-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NE,Cherry County,active,2026-07-14,promote,,thin,206,batch_ok,"moratorium-nation:ne-cherry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NE,Logan County,active,2026-07-15,promote,,corroborated,206,batch_ok,"moratorium-nation:ne-logan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NE,Seward County,active,2026-06-30,promote,,corroborated,206,batch_ok,"moratorium-nation:ne-seward-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NV,Humboldt County,active,2026-07-06,promote,,thin,206,batch_ok,"moratorium-nation:nv-humboldt-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NV,Nye County,active,2026-06-02,promote,,thin,206,batch_ok,"moratorium-nation:nv-nye-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NM,Santa Fe County,active,2026-06-30,promote,,corroborated,206,batch_ok,"moratorium-nation:nm-santa-fe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NM,Sierra County,pending,2026-07-21,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:nm-sierra-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NM,Socorro County,active,2026-06-09,promote,,corroborated,206,batch_ok,"moratorium-nation:nm-socorro-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Cumberland County,active,2026-06-15,promote,,corroborated,206,batch_ok,"moratorium-nation:nc-cumberland-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Davie County,active,2026-07-06,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:nc-davie-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Durham County,active,2026-06-22,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:nc-durham-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Harnett County,active,2026-05-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:nc-harnett-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Northampton County,active,2026-05-04,promote,,corroborated,206,batch_ok,"moratorium-nation:nc-northampton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Pasquotank County,active,2026-05-18,promote,,thin,206,batch_ok,"moratorium-nation:nc-pasquotank-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,NC,Surry County,extended,2026-06,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:nc-surry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,ND,Barnes County,active,2026-05-19,promote,,thin,206,batch_ok,"moratorium-nation:nd-barnes-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,OH,Butler County,active,2026-06-16,promote,,corroborated,206,batch_ok,"moratorium-nation:oh-butler-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,PA,Lycoming County,active,2026-06-18,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:pa-lycoming-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,Chester County,active,2026-07-20,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:sc-chester-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,Chesterfield County,active,2026-06-01,promote,,thin,206,batch_ok,"moratorium-nation:sc-chesterfield-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,Colleton County,active,2026-07-06,promote,,corroborated,206,batch_ok,"moratorium-nation:sc-colleton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,Greenwood County,active,2026-07-21,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:sc-greenwood-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,Newberry County,active,2026-06-05,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:sc-newberry-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SC,York County,active,2026-07-13,promote,,corroborated,206,batch_ok,"moratorium-nation:sc-york-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,SD,Yankton County,active,2026-07-21,promote,,thin,206,batch_ok,"moratorium-nation:sd-yankton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Anderson County,active,2026-06-15,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:tn-anderson-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Cumberland County,active,2026-06-15,promote,,thin,206,batch_ok,"moratorium-nation:tn-cumberland-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Knox County,active,2026-06-22,promote,,corroborated,206,batch_ok,"moratorium-nation:tn-knox-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Loudon County,active,2026-06-29,promote,,corroborated,206,batch_ok,"moratorium-nation:tn-loudon-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Morgan County,active,2026-06-12,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:tn-morgan-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Unincorporated Hamilton County,active,2026-07-15,hold,does not join county frame,,206,batch_ok,"moratorium-nation:tn-unincorporated-hamilton-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,Warren County,active,2026-06-22,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:tn-warren-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TN,White County,active,2026-07,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:tn-white-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TX,Austin County,pending,2026-07-27,hold,"pending, not enacted",,206,batch_ok,"moratorium-nation:tx-austin-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,TX,Hill County,rescinded,2026-05-12,promote,,corroborated,206,batch_ok,"moratorium-nation:tx-hill-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,UT,Box Elder County,active,2026-06-10,promote,,corroborated,206,batch_ok,"moratorium-nation:ut-box-elder-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,UT,Cache County,active,2026-06-23,promote,,corroborated,206,batch_ok,"moratorium-nation:ut-cache-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,UT,Grand County,active,2026-07-07,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:ut-grand-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,UT,Iron County,active,2026-05-26,promote,,corroborated,206,batch_ok,"moratorium-nation:ut-iron-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,UT,Wayne County,active,2026-07-08,promote,,thin,206,batch_ok,"moratorium-nation:ut-wayne-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WA,Skagit County,active,2026-06-01,promote,,thin,206,batch_ok,"moratorium-nation:wa-skagit-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WA,Snohomish County,active,2026-06-24,promote,,thin,206,batch_ok,"moratorium-nation:wa-snohomish-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Dane County,active,2026-06-04,promote,,corroborated,206,batch_ok,"moratorium-nation:wi-dane-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Door County,active,2026-05-26,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:wi-door-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Grant County,active,2026-06-16,promote,,corroborated,206,batch_ok,"moratorium-nation:wi-grant-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Green County,active,2026-07-14,promote,,thin,206,batch_ok,"moratorium-nation:wi-green-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,La Crosse County,active,2026-06-18,hold,upstream verify tag,,206,batch_ok,"moratorium-nation:wi-la-crosse-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Monroe County,active,2026-07-21,promote,,thin,206,batch_ok,"moratorium-nation:wi-monroe-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
2026-09-21,WI,Shawano County,active,2026-06-24,promote,,thin,206,batch_ok,"moratorium-nation:wi-shawano-county-2026 (CC-BY-4.0, github.com/mjbommar/moratorium-data-2026)"
