fips,county_name,state,label_state,evidence_grade,families_checked,families_covered,independence_classes,sources_clear,sources_hit,sources_unreachable,last_checked,staleness_days,probe_status,in_force_as_of,evidence_url_primary,conflict,needs_recheck
02013,"Aleutians East Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02016,"Aleutians West Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02020,"Anchorage Municipality, Alaska",AK,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
02050,"Bethel Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02060,"Bristol Bay Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02063,"Chugach Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02066,"Copper River Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02068,"Denali Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02070,"Dillingham Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02090,"Fairbanks North Star Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02100,"Haines Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02105,"Hoonah-Angoon Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02110,"Juneau City and Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02122,"Kenai Peninsula Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02130,"Ketchikan Gateway Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02150,"Kodiak Island Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02158,"Kusilvak Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02164,"Lake and Peninsula Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02170,"Matanuska-Susitna Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02180,"Nome Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02185,"North Slope Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02188,"Northwest Arctic Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02195,"Petersburg Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02198,"Prince of Wales-Hyder Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02220,"Sitka City and Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02230,"Skagway Municipality, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02240,"Southeast Fairbanks Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02275,"Wrangell City and Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02282,"Yakutat City and Borough, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
02290,"Yukon-Koyukuk Census Area, Alaska",AK,unverified,U,,,,0,0,0,,,never_probed,,,,1
04001,"Apache County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04003,"Cochise County, Arizona",AZ,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
04005,"Coconino County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04007,"Gila County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04009,"Graham County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04011,"Greenlee County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04012,"La Paz County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04013,"Maricopa County, Arizona",AZ,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
04015,"Mohave County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04017,"Navajo County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04019,"Pima County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04021,"Pinal County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04023,"Santa Cruz County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04025,"Yavapai County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
04027,"Yuma County, Arizona",AZ,unverified,U,,,,0,0,0,,,never_probed,,,,1
05001,"Arkansas County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05003,"Ashley County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05005,"Baxter County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05007,"Benton County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05009,"Boone County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05011,"Bradley County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05013,"Calhoun County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05015,"Carroll County, Arkansas",AR,asserted_restrictive,D,,restriction_census,,0,0,0,,,never_probed,,,label_positive_no_support,1
05017,"Chicot County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05019,"Clark County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05021,"Clay County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05023,"Cleburne County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05025,"Cleveland County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05027,"Columbia County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05029,"Conway County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05031,"Craighead County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05033,"Crawford County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05035,"Crittenden County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05037,"Cross County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05039,"Dallas County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05041,"Desha County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05043,"Drew County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05045,"Faulkner County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05047,"Franklin County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05049,"Fulton County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05051,"Garland County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05053,"Grant County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05055,"Greene County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05057,"Hempstead County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05059,"Hot Spring County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05061,"Howard County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05063,"Independence County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05065,"Izard County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05067,"Jackson County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05069,"Jefferson County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05071,"Johnson County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05073,"Lafayette County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05075,"Lawrence County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05077,"Lee County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05079,"Lincoln County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05081,"Little River County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05083,"Logan County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05085,"Lonoke County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05087,"Madison County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05089,"Marion County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05091,"Miller County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05093,"Mississippi County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05095,"Monroe County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05097,"Montgomery County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05099,"Nevada County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05101,"Newton County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05103,"Ouachita County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05105,"Perry County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05107,"Phillips County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05109,"Pike County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05111,"Poinsett County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05113,"Polk County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05115,"Pope County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05117,"Prairie County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05119,"Pulaski County, Arkansas",AR,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
05121,"Randolph County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05123,"St. Francis County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05125,"Saline County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05127,"Scott County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05129,"Searcy County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05131,"Sebastian County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05133,"Sevier County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05135,"Sharp County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05137,"Stone County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05139,"Union County, Arkansas",AR,unverified,D,,restriction_census,,0,0,0,,,never_probed,,,label_negative_upstream_hit,1
05141,"Van Buren County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05143,"Washington County, Arkansas",AR,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
05145,"White County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05147,"Woodruff County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
05149,"Yell County, Arkansas",AR,unverified,U,,,,0,0,0,,,never_probed,,,,1
06001,"Alameda County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06003,"Alpine County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06005,"Amador County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06007,"Butte County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06009,"Calaveras County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06011,"Colusa County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06013,"Contra Costa County, California",CA,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
06015,"Del Norte County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06017,"El Dorado County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06019,"Fresno County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06021,"Glenn County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06023,"Humboldt County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06025,"Imperial County, California",CA,asserted_restrictive,D,,restriction_census,,0,0,0,,,never_probed,,,label_positive_no_support,1
06027,"Inyo County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06029,"Kern County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06031,"Kings County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06033,"Lake County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06035,"Lassen County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06037,"Los Angeles County, California",CA,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
06039,"Madera County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06041,"Marin County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06043,"Mariposa County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06045,"Mendocino County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06047,"Merced County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06049,"Modoc County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06051,"Mono County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06053,"Monterey County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06055,"Napa County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06057,"Nevada County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06059,"Orange County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06061,"Placer County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06063,"Plumas County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06065,"Riverside County, California",CA,asserted_restrictive,U,,,,0,0,0,,,never_probed,,,label_positive_no_support,1
06067,"Sacramento County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06069,"San Benito County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06071,"San Bernardino County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06073,"San Diego County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
06075,"San Francisco County, California",CA,unverified,U,,,,0,0,0,,,never_probed,,,,1
