name,operator,state,county,sqft,lat,lon,type
STACK NVA01A - Northern Virginia,Stack Infrastructure,Virginia,Loudoun County,179330.0,39.00469915120877,-77.44176406797281,building
Minnesota Gateway Data Center,,Minnesota,Hennepin County,87697.0,44.97130185223087,-93.25465186805064,building
IBM Building,,New York,Albany County,15355.0,42.64935307487593,-73.7527452452726,building
Unknown,Verizon Wireless,Michigan,Wayne County,24933.0,42.32626638236376,-83.07698605760793,building
Unknown,University of New Hampshire,New Hampshire,Strafford County,30553.0,43.14361852296161,-70.95247263069143,building
VA3,Digital Realty,Virginia,Fairfax County,96241.0,38.94846385493133,-77.32729535242555,building
IAD1,Evocative,Virginia,Fairfax County,19325.0,38.94881628378597,-77.32940997255484,building
CoreSite Reston Campus VA1,CoreSite,Virginia,Fairfax County,138035.0,38.95058588448764,-77.36454759512179,building
CoreSite Reston VA3,CoreSite,Virginia,Fairfax County,249707.0,38.94846756695561,-77.37236980053557,building
Unknown,FirstLight,New Hampshire,Rockingham County,9316.0,43.07611925782941,-70.80804278020655,building
Insurance Exchange Building,,Colorado,Denver County,19807.0,39.74557178496544,-104.9956910745452,building
Lincoln Rackhouse Maryland,Lincoln Rackhouse,Maryland,Montgomery County,146301.0,39.05856287562289,-76.9643217094945,building
CyrusOne Cincinnati-Lebanon,,Ohio,Warren County,198403.0,39.389018744445785,-84.22187533686325,building
Equinix NY7 Data Center,Equinix,New Jersey,Hudson County,68650.0,40.79686366512243,-74.03114084308724,building
Equinix SV4,Equinix,California,Santa Clara County,122369.0,37.41456431406775,-122.01457953832228,building
H5 Data Centers San Antonio,H5 Data Centers,Texas,Bexar County,20898.0,29.429371203549056,-98.4869063933119,building
Aureon,,Iowa,Polk County,11253.0,41.58799896569892,-93.63100934776038,building
Unknown,,North Carolina,Catawba County,564402.0,35.588012637841835,-81.26252687782907,building
Digital Realty New York HVN10,Digital Realty,Connecticut,Greater Bridgeport Planning Region,134982.0,41.24084597137587,-73.14729941546844,building
Lincoln Rackhouse,,Illinois,DuPage County,70123.0,41.77216480463177,-88.21709086831733,building
Digital Realty CH1,Digital Realty,Illinois,Cook County,469756.0,41.9942374288397,-87.96217216116061,building
H5 Minneapolis,H5,Minnesota,Ramsey County,108201.0,44.97225309779238,-93.14746015507276,building
Iron Mountain Records Storage,,Arizona,Maricopa County,145832.0,33.42038002636909,-112.04132578020344,building
Equinix SV8,Equinix,California,Santa Clara County,12034.0,37.44589521919974,-122.16078171336196,building
NCSA Petascale Computing Facility,,Illinois,Champaign County,45620.0,40.09525910728646,-88.24203140069088,building
LexisNexus Springfield,,Ohio,Clark County,79937.0,39.912780083635845,-83.72376141562717,building
Digital Realty ORD11,Digital Realty,Illinois,Cook County,9092.0,41.87429345515449,-87.6299544230129,building
Lumen,Lumen Technologies,Arizona,Maricopa County,25456.0,33.49433566334995,-112.0707857401212,building
L3Harris Technologies Inc,,Arizona,Maricopa County,14469.0,33.30535847275577,-111.67170400659428,building
AZ Labs,,Arizona,Maricopa County,31625.0,33.30627197658142,-111.67170030901956,building
Serverfarm CH1,Serverfarm,Illinois,Cook County,56419.0,41.87094383200688,-87.64014138667577,building
Aligned Energy Data Center,,Arizona,Maricopa County,512814.0,33.65904093265778,-112.11116815143932,building
Unknown,,Virginia,Fairfax County,19578.0,38.91370196268696,-77.2258381321817,building
Lakeside Technology Center,,Illinois,Cook County,129156.0,41.85365260504632,-87.6183592533761,building
Flexential Phoenix - Deer Valley,Flexential,Arizona,Maricopa County,110023.0,33.68467413549308,-112.09835688433344,building
Equinix SV5,Equinix,California,Santa Clara County,166314.0,37.24204046852016,-121.7818392792948,building
"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,Nebraska,Douglas County,54386.0,41.31800464175668,-96.05034469682974,building
DataBank Pittsburgh PIT2,,Pennsylvania,Allegheny County,60007.0,40.4513685262094,-80.1901183810463,building
Molina Healthcare,,New Mexico,Bernalillo County,25568.0,34.99544591950108,-106.61803444531762,building
Switch12,Switch,Nevada,Clark County,378533.0,36.06173888983835,-115.21329217816584,building
Switch Las Vegas 7,Switch,Nevada,Clark County,324714.0,36.0599251525617,-115.2102454849461,building
